person_id,session,delta_power_mean,theta_power_mean,alpha_power_mean,beta_power_mean,gamma_power_mean,frontal_asymmetry_index,signal_entropy,pupil_dilation_avg,heart_rate_variability
P076,Session_1,4.195067470183309,0.6433554313771703,2.376748563047175,2.8350028924298663,2.7265745972384305,0.04253550764813152,0.8056556018456309,4.050363701069186,68.6794007211215
P076,Session_2,2.7186580469309214,2.6118634836200316,1.5310247626012956,1.1296353975214735,4.321095115948298,-0.6558002947002757,0.6602642815714445,3.3224032398800074,36.402964219469226
P076,Session_3,4.310523622259732,4.660802680291378,1.5430562492746085,2.809136756809747,4.436158929470205,-0.38913661463393545,0.38355084694683944,5.44204594634978,61.49303349829581
P076,Session_4,3.2033289850267703,2.28916341189791,4.5562997355315495,1.5908846624924489,1.2675217010293331,-0.35707504410439106,0.587692155948598,3.895040614954881,69.3665983793286
P076,Session_5,3.5682486441478645,3.3121511140480537,4.252624702074666,1.3294910704468608,1.1130514319557654,-0.6807401334944718,0.18212035717382982,5.198314576408012,30.796059349603112
P076,Session_6,4.9707570217806865,4.009184040304146,2.990888984107325,0.7917539845378605,3.336804167161998,-0.5896343332096785,0.711050881852603,4.322479041929415,57.9610965616838
P076,Session_7,1.5455099566580817,4.0276637561384945,3.272498601870745,3.931936514402634,1.8555158662802573,0.5771036840165131,0.7525864170078858,5.092360566468448,40.11647222225149
P076,Session_8,3.3077550864262477,2.836760370778721,2.6344650674763095,2.42348864385452,0.5835682344429449,-0.6656082909054633,0.968528460618927,3.3306919461212954,31.619512973132178
P076,Session_9,2.5714462552582926,4.360783754310513,2.26249944295464,3.319896574902913,4.498892012133298,-0.943085216312155,0.3343576228705645,5.325666487721245,46.11558315826523
P076,Session_10,0.6775337881521115,2.261201420136861,4.6196459654824915,3.774170044871345,1.521053452597137,0.25870988525787686,0.11661077713872038,3.0982892622040863,67.40871240683501
P076,Session_11,0.5651178867628927,4.499119466531592,1.0652571658413592,3.556924993910991,4.681762932586141,0.9519662387848999,0.5910476179844356,4.184395232013163,30.47060377467991
P076,Session_12,1.036528600180364,1.581022248779954,2.3830105537230257,2.6172532359035703,3.7284550289521414,-0.33757237075375723,0.7361114539571331,2.856028452695497,53.51542767719127
P076,Session_13,3.4209128324234666,1.7609738314575698,2.050528585945439,2.2455433802827844,3.931940704601679,-0.7626885936074954,0.8113667282946893,3.9021060865047734,50.055859143812974
P076,Session_14,3.052233895610265,0.739042808895505,2.7416782411301677,2.191819593382987,1.4065767310692219,0.14077465073506157,0.27436503972232956,3.2727008380348126,64.9353665748419
P076,Session_15,2.9904330252367735,4.080118264440273,2.559343435453288,3.3802195861852535,1.5538749152756581,0.8127084221912924,0.3355775821333213,3.066813722548857,33.36006858082503
